fips,stusps,year,RTC,violent_rate
24,MD,2002,Inf,770.8430448457439
24,MD,2003,Inf,703.4799201376784
24,MD,2004,Inf,700.5695948486787
24,MD,2005,Inf,704.326086394364
24,MD,2006,Inf,678.6476202055597
24,MD,2007,Inf,641.8796135555372
24,MD,2008,Inf,628.2485972322843
24,MD,2009,Inf,589.9663144584379
24,MD,2010,Inf,546.2968857527379
24,MD,2011,Inf,493.4778648411654
24,MD,2012,Inf,477.25787577258285
24,MD,2013,Inf,475.43780236316354
24,MD,2014,Inf,447.9574190580549
25,MA,1977,Inf,425.3371695520882
25,MA,1978,Inf,461.95017496943484
25,MA,1979,Inf,531.2877840553384
25,MA,1980,Inf,601.2966355407452
25,MA,1981,Inf,628.6480540145544
25,MA,1982,Inf,571.371781602501
25,MA,1983,Inf,576.7990145035201
25,MA,1984,Inf,523.6633410985062
25,MA,1985,Inf,538.1998407084162
25,MA,1986,Inf,556.858629865381
25,MA,1987,Inf,564.6456294880595
25,MA,1988,Inf,619.5877021223013
25,MA,1989,Inf,674.9872062775577
25,MA,1990,Inf,736.3176992111671
25,MA,1991,Inf,736.1239155067357
25,MA,1992,Inf,779.0430229157156
25,MA,1993,Inf,804.9400197740774
25,MA,1994,Inf,707.6477149165522
25,MA,1995,Inf,687.1749781773829
25,MA,1996,Inf,642.1863710275935
25,MA,1997,Inf,644.1811065947892
25,MA,1998,Inf,621.3113428470768
25,MA,1999,Inf,550.9647211664084
25,MA,2000,Inf,476.1306681152081
25,MA,2001,Inf,477.8036832075348
25,MA,2002,Inf,484.8639849496646
25,MA,2003,Inf,473.1357490965394
25,MA,2004,Inf,460.2347822040391
25,MA,2005,Inf,460.78507027940964
25,MA,2006,Inf,500.4821232527095
25,MA,2007,Inf,441.675608425
25,MA,2008,Inf,463.79114743859117
25,MA,2009,Inf,462.6161053001148
25,MA,2010,Inf,468.87592111078715
25,MA,2011,Inf,427.3041568851375
25,MA,2012,Inf,407.0092011932617
25,MA,2013,Inf,406.3870777720455
25,MA,2014,Inf,395.09263425857586
26,MI,1977,2001,584.7410445093001
26,MI,1978,2001,577.2119961216868
26,MI,1979,2001,614.2268852747
26,MI,1980,2001,639.5012598063419
26,MI,1981,2001,641.8649222652261
26,MI,1982,2001,656.55951196264175
26,MI,1983,2001,716.6501760029727
26,MI,1984,2001,760.0992961737262
26,MI,1985,2001,734.0887627477155
26,MI,1986,2001,803.9035915999201
26,MI,1987,2001,780.1303502475412
26,MI,1988,2001,741.7205458907631
26,MI,1989,2001,709.1556188963555
26,MI,1990,2001,790.3782098991433
26,MI,1991,2001,803.0741079929545
26,MI,1992,2001,770.0752133073072
26,MI,1993,2001,791.5277805096681
26,MI,1994,2001,766.1225647070424
26,MI,1995,2001,687.8207924695726
26,MI,1996,2001,635.3032958825812
26,MI,1997,2001,589.9632199700844
26,MI,1998,2001,620.831283915313
26,MI,1999,2001,574.9219075385005
26,MI,2000,2001,555.0064526875059
26,MI,2001,2001,553.8928752264743
26,MI,2002,2001,540.7230568147811
26,MI,2003,2001,511.28883321708923
26,MI,2004,2001,492.240519010939
26,MI,2005,2001,553.7761479443246
26,MI,2006,2001,564.4117049061624
26,MI,2007,2001,533.816011258238
26,MI,2008,2001,514.943741728462
26,MI,2009,2001,499.7628767698316
26,MI,2010,2001,492.98678502940646
26,MI,2011,2001,442.764735982227
26,MI,2012,2001,454.96485960277096
